place,cat,target,imp,month,cart,ctr,pdp,clicks,tot_rev,spend,ros,isvt_rev,on_vt_rev,isct_rev,on_ct_rev,tot_ol_rev,tot_in_rev,vt_roas,ct_roas
App,Mobile,Brand,2658,February,44,8,579,2,3613,55,56,570,3043,0,0,3043,570,532,5
App,Mobile,Brand,15148,February,153,15,2716,22,6426,274,20,899,5527,0,0,5527,899,497,0
App,Mobile,Brand,12686,February,104,8,2730,10,7414,162,43,485,6929,0,0,6929,485,1664,0
App,Mobile,Brand,74749,January,840,10,17797,78,55016,840,61,4385,50632,0,810,51442,4385,5393,1
App,Mobile,Brand,20198,January,547,37,12752,74,56582,383,127,9662,46920,227,1675,48595,9890,2628,5
App,Mobile,Brand,109672,January,1810,31,28480,344,72798,1888,36,7400,65398,530,2971,68368,7931,3916,2
App,Mobile,Brand,435486,November,1262,6,27112,255,75183,5020,14,3399,71784,95,880,72664,3494,6164,0
App,Mobile,Brand,291075,June,1240,9,24376,264,102337,3287,30,5947,96391,0,1743,98134,5947,9168,1
App,Mobile,Brand,460185,November,2367,14,42788,657,116213,7834,14,10029,106184,360,2120,108304,10389,7349,0
App,Mobile,Brand,323574,June,2319,18,37812,583,124035,5436,21,10290,113746,91,910,114655,10381,4308,0
App,Mobile,Brand,229284,March,1972,8,27884,194,145000,2603,50,15657,129344,0,834,130177,15657,37053,0
App,Mobile,Brand,93451,December,510,58,20695,539,687737,0,0,128874,558863,0,13069,571932,128874,0,0
App,Mobile,Brand,183151,April,548,7,10645,121,162974,2057,78,2938,160036,0,1210,161246,2938,21336,1
App,Mobile,Brand,35902,October,1351,42,25322,149,166246,668,228,16350,149896,190,2129,152025,16540,9767,3
App,Mobile,Brand,212303,April,3220,24,53463,513,193120,3458,50,23906,169213,1823,3403,172616,25729,16761,2
App,Mobile,Brand,44606,March,1349,17,26957,74,194145,826,164,59449,134696,500,310,135006,59949,30588,1
App,Mobile,Brand,51063,June,2125,31,34147,159,207675,962,188,30086,177590,191,2921,180511,30277,11892,3
App,Mobile,Brand,228977,October,6191,33,71945,748,253951,3845,65,14054,239897,536,9214,249111,14590,17175,3
App,Mobile,Brand,72599,November,2513,36,47646,260,254474,1387,159,40345,214129,240,6610,220739,40585,14938,5
App,Mobile,Brand,36115,April,1641,46,30042,167,257104,663,324,44540,212564,893,2473,215037,45434,38467,5
App,Appliances,Browse,470570,December,1444,13,15907,610,417138,7526,43,96772,320366,3441,2892,323258,100213,57676,1
App,Mobile,Brand,254550,March,5900,24,80934,602,264242,4190,55,41800,222442,3117,9122,231564,44916,18762,3
Phone,Mobile,Brand,6174,December,34,229,421,146,20853,12,12,402,20463,12,1602,22053,402,12,12
App,Mobile,Brand,183054,October,3477,12,55847,211,458592,2255,202,6170,452422,0,2050,454472,6170,43734,1
App,Mobile,Brand,33896,January,1,23,61,77,0,350,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,2742,June,0,4,8,1,0,38,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,42907,June,1,1,9,3,10,802,0,10,0,0,0,0,10,0,0
App,Mobile,Brand,5118,January,0,10,57,5,214,96,0,214,0,0,0,0,214,104,0
App,Mobile,Brand,3875,June,0,0,3,0,231,21,5,133,97,0,0,97,133,631,0
App,Mobile,Brand,3469,January,0,9,17,3,471,54,6,143,328,0,0,328,143,914,0
App,Mobile,Brand,6324,January,3,2,14,1,759,38,8,460,299,0,0,299,460,221,0
App,Mobile,Brand,35222,October,2,2,94,8,1258,322,3,354,905,0,0,905,354,174,0
App,Mobile,Brand,45459,October,6,7,117,32,1512,714,2,381,1131,100,230,1361,481,111,0
App,Mobile,Brand,41698,November,2,10,108,40,1621,645,1,696,925,0,0,925,696,466,0
App,Mobile,Brand,44012,November,0,3,58,12,1667,368,4,151,1516,0,0,1516,151,1018,0
App,Mobile,Brand,154509,January,7,14,276,221,1831,2449,1,267,1564,0,0,1564,267,112,0
App,Mobile,Brand,33338,April,8,1,210,4,2294,0,0,0,2294,0,0,2294,0,0,0
App,Mobile,Brand,1012,January,5,10,688,1,5340,18,199,1671,3669,0,0,3669,1671,9232,0
App,Mobile,Brand,9512,April,33,8,477,8,6531,0,0,870,5661,0,1368,7029,870,0,0
App,Mobile,Brand,190017,June,54,12,670,221,9853,2003,4,1944,7909,0,0,7909,1944,2486,0
Desktop,Mobile,Brand,4854,December,49,570,404,282,44605,12,12,2742,41875,12,7080,48943,2742,12,12
App,Mobile,Brand,54853,November,79,12,537,65,15968,593,21,3291,12677,0,0,12677,3291,6280,0
App,Mobile,Brand,5661,October,42,14,3630,8,16227,103,147,3289,12938,0,2250,15188,3289,9172,22
App,Mobile,Brand,14385,March,32,39,4034,56,21560,269,52,7652,13908,0,167,14075,7652,1626,1
Desktop,Mobile,Brand,52122,December,370,240,7753,1200,612485,12,12,97154,515344,12,81704,597036,97154,12,12
App,Mobile,Brand,68287,November,50,32,667,220,32309,1097,19,11459,20850,1700,0,20850,13159,3535,2
App,Mobile,Brand,335527,June,161,27,2214,890,41215,5382,6,9569,31646,0,360,32006,9569,1913,0
App,Mobile,Brand,463411,February,307,12,5275,558,70019,5124,13,8382,61637,400,6110,67747,8782,8914,1
App,Mobile,Brand,45979,February,94,61,9753,282,78880,908,69,23935,54944,1217,7830,62774,25153,5019,10
App,Mobile,Brand,1480742,March,580,11,5737,1634,101876,17082,5,16090,85785,460,4400,90185,16550,13576,0
Phone,Mobile,Brand,93463,December,522,70,20707,551,687749,12,12,128886,558875,12,13081,571944,128886,12,12
App,Mobile,Brand,501390,January,290,14,4006,684,117174,6065,16,23508,93666,1590,6000,99666,25098,6593,1
App,Mobile,Brand,678620,October,352,9,5971,583,148811,7560,16,30802,118008,2020,3069,121077,32822,17667,1
App,Mobile,Brand,1079651,March,1273,31,16787,3378,184627,17087,9,50349,134278,1718,12904,147181,52067,4443,1
App,Mobile,Brand,566160,February,1123,33,29842,1888,210282,9222,20,41857,168425,1360,11632,180057,43217,8152,1
App,Mobile,Brand,2044659,October,1515,21,25578,4256,371828,30421,10,89322,282505,4180,17107,299612,93502,7065,1
App,Mobile,Brand,1999493,January,2381,23,29464,4550,587796,31508,14,148383,439413,140,3784,443197,148523,6459,0
App,Mobile,Brand,168893,January,4,9,66,158,0,2812,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,124532,January,7,4,35,50,0,1696,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,75222,November,0,2,5,16,0,787,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,48065,November,0,10,1,46,0,725,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,20378,April,0,11,1,23,0,384,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,14915,April,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,869,April,2,0,27,0,0,19,0,0,0,0,0,0,0,0,0
App,Appliances,Intended,1243174,December,571,10,13295,1238,721791,19434,29,173771,548019,4800,15605,563624,178571,131558,1
App,Appliances,Intended,236051,December,387,3,9983,73,875955,3237,215,189890,686065,5400,10510,696575,195290,202582,5
App,Appliances,Browse,761370,December,1865,2,19512,168,880254,9576,85,73599,806655,0,3690,810345,73599,102162,0
App,Mobile,Brand,907,November,1,0,52,0,68,18,4,0,68,0,0,68,0,42,0
App,Appliances,Brand,1946,December,0,0,8,0,116,21,4,39,77,0,0,77,39,124,0
Phone,Scents ,Brand,120469,June,6,13,54,162,0,1925,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,117453,June,0,2,25,28,0,1190,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,114168,November,0,8,14,90,0,1698,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,109039,November,1,2,9,22,0,1177,0,0,0,0,0,0,0,0,0
App,Appliances,Browse,621756,December,2865,4,27083,243,913053,7459,111,99769,813284,0,15444,828728,99769,185502,2
Phone,Scents ,Brand,93609,January,1,14,102,133,0,1440,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,75248,November,0,12,20,93,0,1206,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,62026,October,0,10,34,65,0,949,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,20468,April,5,6,153,13,1101,247,4,199,902,0,0,902,199,87,0
Desktop,Scents ,Brand,52041,November,0,2,1,8,0,594,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,44723,November,0,19,39,83,0,725,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,11627,April,7,30,184,35,2216,197,12,0,2216,0,149,2365,0,240,1
Desktop,Scents ,Brand,43797,October,0,6,19,25,0,543,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,31676,October,0,5,12,15,0,305,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,31281,November,0,8,15,25,0,462,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,25399,November,30,25,429,64,3037,411,7,82,2955,0,99,3054,82,209,0
App,Mobile,Brand,35077,November,10,15,384,53,3570,418,9,0,3570,0,309,3879,0,328,1
App,Appliances,Brand,9809,December,2,11,59,11,411,175,2,46,365,0,0,365,46,35,0
Phone,Scents ,Brand,26369,November,0,13,31,35,0,402,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,23487,November,0,0,7,1,0,173,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,22955,June,0,9,14,21,0,361,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,22897,November,1,5,7,12,0,321,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,20784,April,0,5,2,10,0,329,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,18408,October,0,10,17,18,0,243,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,18342,November,3,10,10,18,0,285,0,0,0,0,0,0,0,0,0
App,Appliances,Brand,2443,December,1,0,152,0,720,11,45,230,490,0,0,490,230,909,0
Desktop,Scents ,Brand,17772,June,1,5,8,8,0,243,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,16929,April,0,1,0,2,0,152,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,9402,January,0,3,0,3,0,116,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,8865,November,0,7,6,6,0,123,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,8406,June,0,1,4,1,0,101,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,5187,January,0,8,0,4,0,83,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,4497,October,1,4,2,2,0,51,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,3536,November,0,3,1,1,0,63,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,1975,October,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,1823,October,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,1674,January,0,6,1,1,0,30,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,950,April,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,880,January,0,11,0,1,0,12,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,733,November,0,14,2,1,0,22,0,0,0,0,0,0,0,0,0
Phone,Scents ,Brand,647,January,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
Desktop,Scents ,Brand,371,January,0,27,1,1,0,5,0,0,0,0,0,0,0,0,0
App,Mobile,Browse,1738,October,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0
App,Mobile,Browse,1719,October,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
App,Mobile,Browse,797,October,0,13,3,1,0,12,0,0,0,0,0,0,0,0,0
App,Appliances,Browse,1274114,December,2622,29,26503,3644,1083543,20325,45,230272,853272,13286,71056,924328,243558,97851,4
App,Mobile,Browse,479,January,0,21,1,1,0,6,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,168,October,0,60,1,1,0,2,0,0,0,0,0,0,0,0,0
App,Mobile,Browse,89,January,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,81,January,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
App,Mobile,Browse,4704,October,0,2,8,1,4,69,0,0,4,0,0,4,0,2,0
App,Mobile,Brand,13346,October,7,2,46,3,155,176,1,0,155,0,0,155,0,201,0
App,Appliances,Intended,2095840,December,754,3,15061,548,1176268,25289,38,234225,942043,2510,30170,972213,236735,332774,1
App,Appliances,Brand,3213101,December,5333,23,125305,7251,1321253,49323,25,168870,1152383,10965,71128,1223511,179835,16686,2
App,Mobile,Brand,2057,January,2,0,30,0,525,29,18,0,525,0,0,525,0,602,0
App,Mobile,Browse,17887,January,3,4,50,8,568,196,2,218,350,0,0,350,218,753,0
App,Mobile,Browse,15033,January,0,10,54,15,782,193,3,171,610,0,0,610,171,1137,0
App,Mobile,Brand,47078,January,0,0,14,0,805,670,1,0,805,0,0,805,0,52,0
App,Mobile,Brand,130953,October,0,1,71,12,930,1857,0,210,720,0,0,720,210,479,0
App,Mobile,Browse,2800,October,0,0,8,0,944,32,29,0,944,0,0,944,0,70367,0
App,Appliances,Brand,3513604,December,4329,8,66852,2883,1538204,35661,41,91020,1447184,850,29732,1476916,91870,43915,1
App,Mobile,Browse,20632,October,3,12,229,24,1076,317,4,0,1076,0,299,1375,0,8989,1
App,Mobile,Browse,10604,January,3,23,73,24,1116,166,7,0,1116,0,0,1116,0,231,0
App,Appliances,Brand,159324,December,3,12,147,186,6846,2465,2,2700,4146,0,0,4146,2700,75,0
App,Mobile,Browse,8098,January,2,44,144,36,1743,125,13,574,1169,0,432,1601,574,1349,3
App,Appliances,Browse,781710,December,4475,16,50756,1261,1812177,12747,120,363734,1448443,9511,83489,1531932,373245,187735,7
App,Mobile,Browse,11119,January,1,23,71,26,2558,174,29,562,1996,0,3036,5032,562,4277,18
App,Appliances,Browse,1609510,December,3738,6,35355,918,2072000,20125,89,367330,1704670,40718,92328,1796998,408048,452985,7
App,Mobile,Browse,24937,January,1,5,47,13,3003,294,10,21,2982,0,0,2982,21,752,0
App,Mobile,Browse,10559,October,6,18,262,19,3180,161,18,324,2856,0,0,2856,324,49454,0
App,Mobile,Browse,12563,October,6,15,158,19,3215,195,13,680,2535,0,0,2535,680,7181,0
App,Appliances,Brand,29409,December,99,22,2242,65,37298,523,65,4712,32585,0,1600,34185,4712,832,3
App,Mobile,Browse,30385,October,9,5,241,15,4581,332,10,1209,3371,0,0,3371,1209,51410,0
App,Appliances,Browse,1113317,December,6020,7,62336,788,3458123,14513,213,494718,2963406,34056,134771,3098176,528773,178642,12
App,Appliances,Brand,55099,December,294,25,12746,136,110566,994,90,23836,86730,625,2412,89143,24461,6961,3
App,Mobile,Browse,81028,October,7,3,325,28,6149,818,9,81,6068,0,1260,7328,81,9197,2
App,Appliances,Brand,3690902,December,8873,15,268456,5648,5952717,77103,58,1544867,4407849,21101,98276,4506125,1565968,255378,2
App,Appliances,Brand,1259874,December,223,9,8366,1164,134552,22700,4,41524,93028,0,0,93028,41524,1144,0
App,Mobile,Browse,40294,October,9,4,564,18,15050,477,22,4436,10615,0,30,10645,4436,24762,0
App,Mobile,Browse,61873,January,64,26,1105,158,17857,1019,17,3347,14510,0,2398,16908,3347,1438,2
App,Mobile,Browse,57383,January,56,10,921,55,19362,631,33,1601,17761,0,2900,20661,1601,2716,5
App,Mobile,Browse,223377,October,396,22,5188,482,59907,3422,16,9873,50034,111,4238,54271,9984,14699,1
App,Mobile,Browse,326993,October,408,10,5987,337,103410,3806,25,11562,91848,667,4569,96417,12229,29052,1
App,Mobile,Brand,91418,January,1,5,36,50,0,1227,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,15054,June,0,7,5,10,0,189,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,10206,January,0,2,7,2,0,147,0,0,0,0,0,0,0,0,0
App,Mobile,Browse,9581,January,692,21,36,20,0,0,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,7278,February,0,10,5,7,0,88,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,6474,January,8,0,17,0,0,66,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,6291,February,0,8,5,5,0,120,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,3525,October,0,0,2,0,0,50,0,0,0,0,0,0,0,0,0
App,Appliances,Brand,2686061,December,20479,14,190059,3819,6795204,41218,139,1270056,5525147,36763,199457,5724604,1306820,903035,6
App,Mobile,Brand,2680,January,0,7,3,2,0,38,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,717,October,0,28,0,2,0,13,0,0,0,0,0,0,0,0,0
App,Appliances,Brand,4305415,December,19490,5,171923,2101,8504617,47027,164,1053243,7451374,36294,239678,7691052,1089537,630882,6
App,Mobile,Browse,138,November,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,114,January,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,24,January,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,18,January,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
App,Mobile,Brand,20821,November,1,2,6,5,6,249,0,0,6,0,0,6,0,9,0
